Text,Sentiment,cleaned_text,Cluster
Enjoying a beautiful day at the park!,Good,enjoying beautiful day park,1
Traffic was terrible this morning.,Good,traffic terrible morning,1
Just finished an amazing workout! 💪,Good,finished amazing workout,1
Excited about the upcoming weekend getaway!,Good,excited upcoming weekend getaway,1
Trying out a new recipe for dinner tonight.,Okayish,trying new recipe dinner tonight,2
Feeling grateful for the little things in life.,Good,feeling grateful little things life,1
Rainy days call for cozy blankets and hot cocoa.,Good,rainy days call cozy blankets hot cocoa,1
The new movie release is a must-watch!,Okayish,new movie release must watch,2
Political discussions heating up on the timeline.,Good,political discussions heating timeline,1
Missing summer vibes and beach days.,Good,missing summer vibes beach days,1
Just published a new blog post. Check it out!,Okayish,published new blog post check,2
Feeling a bit under the weather today.,Good,feeling bit weather today,1
Exploring the city's hidden gems.,Good,exploring city hidden gems,1
" New year, new fitness goals! 💪                    ",Okayish,new year new fitness goals,2
Technology is changing the way we live.,Good,technology changing way live,1
Reflecting on the past and looking ahead.,Good,reflecting past looking ahead,1
Just adopted a cute furry friend! 🐾,Good,adopted cute furry friend,1
Late-night gaming session with friends.,Good,late night gaming session friends,1
Attending a virtual conference on AI.,Good,attending virtual conference ai,1
Winter blues got me feeling low.,Good,winter blues got feeling low,1
Sipping coffee and enjoying a good book.,Good,sipping coffee enjoying good book,1
Exploring the world of virtual reality.,Very Bad,exploring world virtual reality,4
Productive day ticking off my to-do list.,Good,productive day ticking list,1
Just finished a challenging workout routine.,Good,finished challenging workout routine,1
Celebrating a milestone at work! 🎉,Good,celebrating milestone work,1
Sunday brunch with friends.,Good,sunday brunch friends,1
Learning a new language for personal growth.,Okayish,learning new language personal growth,2
Quiet evening with a good book.,Good,quiet evening good book,1
Reflecting on the importance of mental health.,Good,reflecting importance mental health,1
New painting in progress! 🎨,Okayish,new painting progress,2
Weekend road trip to explore scenic views.,Good,weekend road trip explore scenic views,1
Enjoying a cup of tea and watching the sunset.,Good,enjoying cup tea watching sunset,1
Coding a new project with enthusiasm.,Okayish,coding new project enthusiasm,2
Feeling inspired after attending a workshop.,Good,feeling inspired attending workshop,1
Winter sports day at the local park.,Good,winter sports day local park,1
Quality time with family this weekend.,Good,quality time family weekend,1
Attending a live music concert tonight.,Good,attending live music concert tonight,1
Practicing mindfulness with meditation.,Good,practicing mindfulness meditation,1
Trying out a new dessert recipe.,Okayish,trying new dessert recipe,2
Excited about the upcoming gaming tournament.,Good,excited upcoming gaming tournament,1
Planning a garden makeover for spring.,Good,planning garden makeover spring,1
Celebrating a friend's birthday tonight! 🎂,Good,celebrating friend birthday tonight,1
Feeling accomplished after a productive day.,Good,feeling accomplished productive day,1
A cozy evening with a good movie.,Good,cozy evening good movie,1
Exploring local art galleries this weekend.,Good,exploring local art galleries weekend,1
New book release from my favorite author!,Okayish,new book release favorite author,2
Attending a virtual reality meetup.,Good,attending virtual reality meetup,1
Reflecting on the beauty of nature.,Very Bad,reflecting beauty nature,4
Cooking a special dinner for loved ones.,Good,cooking special dinner loved ones,1
Feeling optimistic about the week ahead.,Good,feeling optimistic week ahead,1
Starting a new fitness challenge tomorrow! 💪,Okayish,starting new fitness challenge tomorrow,2
Sunday bike ride through scenic trails.,Good,sunday bike ride scenic trails,1
Can't believe the injustice happening in our society.,Good,believe injustice happening society,1
Feeling a sense of fear after watching a thriller movie.,Good,feeling sense fear watching thriller movie,1
Heartbroken after hearing the news about a natural disaster.,Good,heartbroken hearing news natural disaster,1
The state of the world's environment is just disgusting.,Very Bad,state world environment disgusting,4
Pure happiness: celebrating a loved one's achievement!,Good,pure happiness celebrating loved one achievement,1
Laughter is the best medicine—enjoying a comedy show.,Good,laughter best medicine enjoying comedy show,1
Sharing love and positive vibes with everyone! ❤️,Good,sharing love positive vibes everyone,1
An amusing incident brightened up my day!,Good,amusing incident brightened day,1
Enjoying a quiet evening with a book and some tea.,Good,enjoying quiet evening book tea,1
Admiring the beauty of nature during a peaceful hike.,Very Bad,admiring beauty nature peaceful hike,4
Sending affectionate vibes to all my followers!,Good,sending affectionate vibes followers,1
Experiencing awe at the breathtaking sunset.,Good,experiencing awe breathtaking sunset,1
Disappointed with the service at a local restaurant.,Good,disappointed service local restaurant,1
A surprise gift from a friend made my day!,Good,surprise gift friend made day,1
Finding acceptance in the midst of life's challenges.,Very Bad,finding acceptance midst life challenges,4
Overflowing with adoration for my adorable pet! 🐾,Good,overflowing adoration adorable pet,1
Anticipating a thrilling adventure in the coming weeks.,Good,anticipating thrilling adventure coming weeks,1
A bitter experience turned into a valuable lesson.,Good,bitter experience turned valuable lesson,1
Finding calmness in the midst of a busy day.,Very Bad,finding calmness midst busy day,4
Confusion clouds my mind as I navigate through decisions.,Good,confusion clouds mind navigate decisions,1
Excitement building up for the upcoming vacation!,Good,excitement building upcoming vacation,1
Kindness witnessed today restored my faith in humanity.,Very Good,kindness witnessed today restored faith humanity,0
Pride in achieving a personal milestone.,Good,pride achieving personal milestone,1
A moment of shame for not standing up against injustice.,Good,moment shame standing injustice,1
Fuming with anger after a heated argument.,Very Good,fuming anger heated argument,0
The fear of the unknown is keeping me up at night.,Good,fear unknown keeping night,1
Heartfelt sadness after bidding farewell to a dear friend.,Good,heartfelt sadness bidding farewell dear friend,1
The state of corruption in our society is utterly disgusting.,Good,state corruption society utterly disgusting,1
Overflowing happiness: welcoming a new family member!,Okayish,overflowing happiness welcoming new family member,2
Laughter is the key to joy—attending a stand-up comedy show.,Good,laughter key joy attending stand comedy show,1
Sending love to all my followers on this beautiful day! ❤️,Good,sending love followers beautiful day,1
Amused by the antics of my pet—it's pure amusement!,Good,amused antics pet pure amusement,1
Enjoying every moment of this trip—pure enjoyment!,Good,enjoying every moment trip pure enjoyment,1
Admiring the dedication of volunteers at a local charity.,Good,admiring dedication volunteers local charity,1
Sending affectionate vibes to friends and family.,Good,sending affectionate vibes friends family,1
Awe-struck by the beauty of the night sky.,Bad,awe struck beauty night sky,3
Disappointed with the lack of progress in a personal project.,Okayish,disappointed lack progress personal project,2
A surprise visit from an old friend brought tears of joy.,Good,surprise visit old friend brought tears joy,1
